lane,candidate_id,scope_type,scope_value,eligible_rows,scored_rows,coverage,seasons,spearman,spearman_ci_low,spearman_ci_high,rank_mae,ndcg,ndcg_top60,ndcg_primary_aggregate,ndcg_pooled_diagnostic,ndcg_top60_pooled_diagnostic,ndcg_row_weighted_mean,ndcg_median,ndcg_worst_season,ndcg_ci_low,ndcg_ci_high,ndcg_top60_row_weighted_mean,ndcg_top60_median,ndcg_top60_worst_season,ndcg_top60_ci_low,ndcg_top60_ci_high,top12_precision,top12_recall,top24_precision,top24_recall,top60_precision,top60_recall,severe_false_positives,severe_false_negatives,severe_errors,metric_status,review_only
WIN_NOW,W1_NEXT_SEASON_VOR,SEASON,2020,434,434,1.000000000,1,0.658423799,,,74.175115207,0.954120910,0.820608593,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.954120910,0.820608593,0.954120910,0.954120910,0.954120910,,,0.820608593,0.820608593,0.820608593,,,0.333333333,0.333333333,0.416666667,0.416666667,0.516666667,0.516666667,6,2,8,SUPPORTED,True
WIN_NOW,W1_NEXT_SEASON_VOR,SEASON,2021,466,466,1.000000000,1,0.711151476,,,72.862660944,0.964683477,0.845289220,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.964683477,0.845289220,0.964683477,0.964683477,0.964683477,,,0.845289220,0.845289220,0.845289220,,,0.250000000,0.250000000,0.375000000,0.375000000,0.533333333,0.533333333,2,4,6,SUPPORTED,True
WIN_NOW,W1_NEXT_SEASON_VOR,SEASON,2022,472,472,1.000000000,1,0.713940684,,,73.211864407,0.967290371,0.876461083,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.967290371,0.876461083,0.967290371,0.967290371,0.967290371,,,0.876461083,0.876461083,0.876461083,,,0.500000000,0.500000000,0.416666667,0.416666667,0.616666667,0.616666667,0,1,1,SUPPORTED,True
WIN_NOW,W1_NEXT_SEASON_VOR,SEASON,2023,440,440,1.000000000,1,0.715869964,,,63.709090909,0.966773538,0.870695014,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.966773538,0.870695014,0.966773538,0.966773538,0.966773538,,,0.870695014,0.870695014,0.870695014,,,0.333333333,0.333333333,0.458333333,0.458333333,0.633333333,0.633333333,2,4,6,SUPPORTED,True
WIN_NOW,W1_NEXT_SEASON_VOR,SEASON,2024,438,438,1.000000000,1,0.732938728,,,65.168949772,0.955139765,0.834806447,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.955139765,0.834806447,0.955139765,0.955139765,0.955139765,,,0.834806447,0.834806447,0.834806447,,,0.083333333,0.083333333,0.250000000,0.250000000,0.583333333,0.583333333,6,3,9,SUPPORTED,True
WIN_NOW,W1_NEXT_SEASON_VOR,SEASON,2025,452,452,1.000000000,1,0.736019496,,,64.738938053,0.963320861,0.843220141,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.963320861,0.843220141,0.963320861,0.963320861,0.963320861,,,0.843220141,0.843220141,0.843220141,,,0.333333333,0.333333333,0.458333333,0.458333333,0.516666667,0.516666667,6,4,10,SUPPORTED,True
WIN_NOW,W2_CONDITIONAL_PRODUCTION_AVAILABILITY,OVERALL,ALL,3918,3918,1.000000000,9,0.695120157,0.670791166,0.718317743,68.871873405,0.961379939,0.847440812,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.975399850,0.736605882,0.961474265,0.963490291,0.950790064,0.956172717,0.965934238,0.847718212,0.853100570,0.812188312,0.833215165,0.862821733,0.333333333,0.333333333,0.416666667,0.416666667,0.555555556,0.555555556,34,24,58,SUPPORTED,True
WIN_NOW,W2_CONDITIONAL_PRODUCTION_AVAILABILITY,POSITION,QB,532,532,1.000000000,9,0.703730015,,,10.300751880,0.909385771,0.907517475,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.939303621,0.784676794,0.911308607,0.900969903,0.855478913,0.889224306,0.927335081,0.909285919,0.900969903,0.855478913,0.890497076,0.924364453,0.583333333,0.583333333,0.759259259,0.759259259,0.972815534,0.972815534,0,0,0,SUPPORTED,True
WIN_NOW,W2_CONDITIONAL_PRODUCTION_AVAILABILITY,POSITION,RB,1000,1000,1.000000000,9,0.683190439,,,19.524000000,0.883301695,0.811320484,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.915948247,0.666963309,0.883156149,0.888113158,0.846016140,0.864705879,0.897013753,0.810828924,0.811955232,0.761697704,0.788371850,0.836154794,0.444444444,0.444444444,0.611111111,0.611111111,0.766666667,0.766666667,0,0,0,SUPPORTED,True
WIN_NOW,W2_CONDITIONAL_PRODUCTION_AVAILABILITY,POSITION,WR,1525,1525,1.000000000,9,0.715283384,,,28.469508197,0.918845985,0.834150243,UNWEIGHTED_MEAN_OF_TARGET_SEASON_NDCG,0.939540109,0.704875395,0.918544922,0.919107811,0.877957606,0.905487711,0.930846422,0.833842122,0.829080355,0.803116703,0.818371966,0.851243745,0.435185185,0.435185185,0.601851852,0.601851852,0.716666667,0.716666667,3,2,5,SUPPORTED,True
