lane,candidate_id,scope_type,scope_value,eligible_rows,scored_rows,coverage,seasons,spearman,spearman_ci_low,spearman_ci_high,rank_mae,ndcg,ndcg_top60,top12_precision,top12_recall,top24_precision,top24_recall,top60_precision,top60_recall,severe_false_positives,severe_false_negatives,severe_errors,metric_status,review_only
DYNASTY,D2_FUTURE_PRODUCTION_X_RETENTION,SEASON,2023,440,269,0.611363636,1,0.720357938,,,38.118959108,0.979501187,0.925570654,0.416666667,0.416666667,0.541666667,0.541666667,0.716666667,0.716666667,1,3,4,SUPPORTED,True
DYNASTY,D3_CAPPED_CAREER_HORIZON_GUARDS,OVERALL,ALL,2619,1550,0.591828942,6,0.713957198,0.672691383,0.748788823,39.927741935,0.980228148,0.837337107,0.416666667,0.416666667,0.493055556,0.493055556,0.650000000,0.650000000,5,11,16,SUPPORTED,True
DYNASTY,D3_CAPPED_CAREER_HORIZON_GUARDS,POSITION,QB,349,233,0.667621777,6,0.673204186,,,7.047210300,0.953228162,0.843892524,0.611111111,0.611111111,0.840277778,0.840277778,1.000000000,1.000000000,0,0,0,SUPPORTED,True
DYNASTY,D3_CAPPED_CAREER_HORIZON_GUARDS,POSITION,RB,678,385,0.567846608,6,0.709337730,,,10.722077922,0.929685449,0.774493878,0.527777778,0.527777778,0.715277778,0.715277778,0.960784314,0.960784314,0,0,0,SUPPORTED,True
DYNASTY,D3_CAPPED_CAREER_HORIZON_GUARDS,POSITION,WR,1026,584,0.569200780,6,0.737923372,,,15.832191781,0.953629119,0.814310036,0.611111111,0.611111111,0.694444444,0.694444444,0.791666667,0.791666667,0,0,0,SUPPORTED,True
DYNASTY,D3_CAPPED_CAREER_HORIZON_GUARDS,POSITION,TE,566,348,0.614840989,6,0.735420744,,,9.080459770,0.947376063,0.840449442,0.638888889,0.638888889,0.763888889,0.763888889,0.982404692,0.982404692,0,0,0,SUPPORTED,True
DYNASTY,D3_CAPPED_CAREER_HORIZON_GUARDS,SEASON,2018,401,224,0.558603491,1,0.620912876,,,41.491071429,0.966989157,0.887779094,0.416666667,0.416666667,0.458333333,0.458333333,0.533333333,0.533333333,1,2,3,SUPPORTED,True
DYNASTY,D3_CAPPED_CAREER_HORIZON_GUARDS,SEASON,2019,406,268,0.660098522,1,0.673515801,,,44.388059701,0.965453514,0.880555065,0.416666667,0.416666667,0.458333333,0.458333333,0.633333333,0.633333333,1,3,4,SUPPORTED,True
DYNASTY,D3_CAPPED_CAREER_HORIZON_GUARDS,SEASON,2020,434,267,0.615207373,1,0.689635585,,,43.520599251,0.963787737,0.885872666,0.416666667,0.416666667,0.541666667,0.541666667,0.650000000,0.650000000,0,2,2,SUPPORTED,True
DYNASTY,D3_CAPPED_CAREER_HORIZON_GUARDS,SEASON,2021,466,266,0.570815451,1,0.764290735,,,37.473684211,0.978582862,0.918226812,0.416666667,0.416666667,0.500000000,0.500000000,0.650000000,0.650000000,2,1,3,SUPPORTED,True
DYNASTY,D3_CAPPED_CAREER_HORIZON_GUARDS,SEASON,2022,472,256,0.542372881,1,0.782010328,,,34.601562500,0.975508105,0.924953151,0.416666667,0.416666667,0.458333333,0.458333333,0.716666667,0.716666667,0,0,0,SUPPORTED,True
DYNASTY,D3_CAPPED_CAREER_HORIZON_GUARDS,SEASON,2023,440,269,0.611363636,1,0.720352389,,,38.111524164,0.979617816,0.925830811,0.416666667,0.416666667,0.541666667,0.541666667,0.716666667,0.716666667,1,3,4,SUPPORTED,True
