field_id,candidate,bucket,rows,predicted_mean,actual_rate,absolute_calibration_error
QB_T12_T_PLUS_2,C1_REGULARIZED_LOGISTIC,0.1-0.2,37,0.1382609190,0.1621621622,0.0239012432
QB_T12_T_PLUS_2,C1_REGULARIZED_LOGISTIC,0.2-0.3,40,0.2400389211,0.2250000000,0.0150389211
QB_T12_T_PLUS_2,C1_REGULARIZED_LOGISTIC,0.4-0.5,42,0.4721326496,0.4523809524,0.0197516972
QB_T12_T_PLUS_2,C2_BETA_CALIBRATION,0.0-0.1,45,0.0711624688,0.0222222222,0.0489402466
QB_T12_T_PLUS_2,C2_BETA_CALIBRATION,0.1-0.2,37,0.1382609190,0.1621621622,0.0239012432
QB_T12_T_PLUS_2,C2_BETA_CALIBRATION,0.2-0.3,40,0.2400389211,0.2250000000,0.0150389211
QB_T12_T_PLUS_2,C2_BETA_CALIBRATION,0.4-0.5,42,0.4721326496,0.4523809524,0.0197516972
QB_T12_T_PLUS_2,C3_ISOTONIC_MONOTONIC,0.0-0.1,45,0.0711624688,0.0222222222,0.0489402466
QB_T12_T_PLUS_2,C3_ISOTONIC_MONOTONIC,0.1-0.2,37,0.1382609190,0.1621621622,0.0239012432
QB_T12_T_PLUS_2,C3_ISOTONIC_MONOTONIC,0.2-0.3,40,0.2400389211,0.2250000000,0.0150389211
QB_T12_T_PLUS_2,C3_ISOTONIC_MONOTONIC,0.4-0.5,42,0.4721326496,0.4523809524,0.0197516972
QB_T12_WITHIN_3Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.1-0.2,58,0.1437528493,0.1034482759,0.0403045735
QB_T12_WITHIN_3Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.2-0.3,1,0.2792712067,1.0000000000,0.7207287933
QB_T12_WITHIN_3Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.3-0.4,59,0.3561717312,0.3728813559,0.0167096247
QB_T12_WITHIN_3Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.5-0.6,38,0.5805084917,0.5526315789,0.0278769127
QB_T12_WITHIN_3Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.6-0.7,27,0.6650472622,0.4444444444,0.2206028177
QB_T12_WITHIN_3Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.8-0.9,72,0.8628741211,0.8611111111,0.0017630100
QB_T12_WITHIN_3Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.9-1.0,10,0.9010067114,0.8000000000,0.1010067114
QB_T12_WITHIN_3Y,C1_REGULARIZED_LOGISTIC,0.1-0.2,58,0.1541626022,0.1034482759,0.0507143264
QB_T12_WITHIN_3Y,C1_REGULARIZED_LOGISTIC,0.3-0.4,60,0.3592277508,0.3833333333,0.0241055825
QB_T12_WITHIN_3Y,C1_REGULARIZED_LOGISTIC,0.5-0.6,38,0.5645865561,0.5526315789,0.0119549772
QB_T12_WITHIN_3Y,C1_REGULARIZED_LOGISTIC,0.6-0.7,27,0.6650472622,0.4444444444,0.2206028177
QB_T12_WITHIN_3Y,C1_REGULARIZED_LOGISTIC,0.7-0.8,12,0.7672127110,0.7500000000,0.0172127110
QB_T12_WITHIN_3Y,C1_REGULARIZED_LOGISTIC,0.8-0.9,60,0.8533341742,0.8833333333,0.0299991591
QB_T12_WITHIN_3Y,C1_REGULARIZED_LOGISTIC,0.9-1.0,10,0.9010067114,0.8000000000,0.1010067114
QB_T12_WITHIN_3Y,C2_BETA_CALIBRATION,0.1-0.2,48,0.1464797228,0.1041666667,0.0423130561
QB_T12_WITHIN_3Y,C2_BETA_CALIBRATION,0.2-0.3,10,0.2290355310,0.1000000000,0.1290355310
QB_T12_WITHIN_3Y,C2_BETA_CALIBRATION,0.3-0.4,60,0.3634239374,0.3833333333,0.0199093960
QB_T12_WITHIN_3Y,C2_BETA_CALIBRATION,0.5-0.6,38,0.5608924510,0.5526315789,0.0082608721
QB_T12_WITHIN_3Y,C2_BETA_CALIBRATION,0.6-0.7,27,0.6650472622,0.4444444444,0.2206028177
QB_T12_WITHIN_3Y,C2_BETA_CALIBRATION,0.7-0.8,28,0.7690532821,0.8928571429,0.1238038608
QB_T12_WITHIN_3Y,C2_BETA_CALIBRATION,0.8-0.9,44,0.8694641953,0.8409090909,0.0285551044
QB_T12_WITHIN_3Y,C2_BETA_CALIBRATION,0.9-1.0,10,0.9010067114,0.8000000000,0.1010067114
QB_T12_WITHIN_3Y,C3_ISOTONIC_MONOTONIC,0.1-0.2,58,0.1437528493,0.1034482759,0.0403045735
QB_T12_WITHIN_3Y,C3_ISOTONIC_MONOTONIC,0.2-0.3,1,0.2792712067,1.0000000000,0.7207287933
QB_T12_WITHIN_3Y,C3_ISOTONIC_MONOTONIC,0.3-0.4,59,0.3561717312,0.3728813559,0.0167096247
QB_T12_WITHIN_3Y,C3_ISOTONIC_MONOTONIC,0.5-0.6,38,0.5805084917,0.5526315789,0.0278769127
QB_T12_WITHIN_3Y,C3_ISOTONIC_MONOTONIC,0.6-0.7,27,0.6650472622,0.4444444444,0.2206028177
QB_T12_WITHIN_3Y,C3_ISOTONIC_MONOTONIC,0.8-0.9,72,0.8628741211,0.8611111111,0.0017630100
QB_T12_WITHIN_3Y,C3_ISOTONIC_MONOTONIC,0.9-1.0,10,0.9010067114,0.8000000000,0.1010067114
QB_T12_WITHIN_5Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.3-0.4,11,0.3803721864,0.3636363636,0.0167358228
QB_T12_WITHIN_5Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.4-0.5,6,0.4017894299,0.1666666667,0.2351227632
QB_T12_WITHIN_5Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.5-0.6,8,0.5729782667,1.0000000000,0.4270217333
QB_T12_WITHIN_5Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.6-0.7,20,0.6469015388,0.5000000000,0.1469015388
QB_T12_WITHIN_5Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.7-0.8,32,0.7476428486,0.7500000000,0.0023571514
QB_T12_WITHIN_5Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.8-0.9,18,0.8567596609,0.6111111111,0.2456485498
QB_T12_WITHIN_5Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.9-1.0,67,0.9407597512,0.9552238806,0.0144641294
QB_T12_WITHIN_5Y,C1_REGULARIZED_LOGISTIC,0.3-0.4,11,0.3803721864,0.3636363636,0.0167358228
QB_T12_WITHIN_5Y,C1_REGULARIZED_LOGISTIC,0.4-0.5,6,0.4017894299,0.1666666667,0.2351227632
QB_T12_WITHIN_5Y,C1_REGULARIZED_LOGISTIC,0.5-0.6,6,0.5813110896,1.0000000000,0.4186889104
