nwr_player_id,field_id,released_probability,probability_pre_projection,projection_delta,selected_calibrator,c0_probability,classification,reason_code,player_name,position,age,finished_v1_rank,probability_delta_vs_c0,absolute_probability_delta_vs_c0
7588,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Javonte Williams,RB,,37,0.1614990774,0.1614990774
4866,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Saquon Barkley,RB,,38,0.1614990774,0.1614990774
6790,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,D'Andre Swift,RB,,39,0.1614990774,0.1614990774
6813,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Jonathan Taylor,RB,,4,0.1614990774,0.1614990774
7543,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Travis Etienne,RB,,41,0.1614990774,0.1614990774
8228,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Jaylen Warren,RB,,43,0.1614990774,0.1614990774
9221,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Jahmyr Gibbs,RB,,5,0.1614990774,0.1614990774
7021,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Rico Dowdle,RB,,56,0.1614990774,0.1614990774
3198,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Derrick Henry,RB,,65,0.1614990774,0.1614990774
8151,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Kenneth Walker,RB,,73,0.1614990774,0.1614990774
5967,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Tony Pollard,RB,,76,0.1614990774,0.1614990774
7567,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Kenneth Gainwell,RB,,80,0.1614990774,0.1614990774
9226,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,De'Von Achane,RB,,9,0.1614990774,0.1614990774
9753,RB_T36_THIS_YEAR,0.8055555556,0.8055555556,0.0000000000,C3_ISOTONIC_MONOTONIC,0.6440564782,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Zach Charbonnet,RB,,99,0.1614990774,0.1614990774
9493,WR_T6_WITHIN_5Y,0.6612974078,0.6612974078,0.0000000000,C2_BETA_CALIBRATION,0.7735507246,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Puka Nacua,WR,,1,-0.1122533169,0.1122533169
8137,WR_T6_WITHIN_5Y,0.6612974078,0.6612974078,0.0000000000,C2_BETA_CALIBRATION,0.7735507246,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,George Pickens,WR,,10,-0.1122533169,0.1122533169
8144,WR_T6_WITHIN_5Y,0.6612974078,0.6612974078,0.0000000000,C2_BETA_CALIBRATION,0.7735507246,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Chris Olave,WR,,14,-0.1122533169,0.1122533169
9488,WR_T6_WITHIN_5Y,0.6612974078,0.6612974078,0.0000000000,C2_BETA_CALIBRATION,0.7735507246,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Jaxon Smith-Njigba,WR,,2,-0.1122533169,0.1122533169
7564,WR_T6_WITHIN_5Y,0.6612974078,0.6612974078,0.0000000000,C2_BETA_CALIBRATION,0.7735507246,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Ja'Marr Chase,WR,,6,-0.1122533169,0.1122533169
7547,WR_T6_WITHIN_5Y,0.6612974078,0.6612974078,0.0000000000,C2_BETA_CALIBRATION,0.7735507246,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Amon-Ra St. Brown,WR,,7,-0.1122533169,0.1122533169
6794,WR_T12_WITHIN_3Y,0.4473684211,0.4473684211,0.0000000000,C3_ISOTONIC_MONOTONIC,0.3471509352,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Justin Jefferson,WR,,22,0.1002174859,0.1002174859
5846,WR_T12_WITHIN_3Y,0.4473684211,0.4473684211,0.0000000000,C3_ISOTONIC_MONOTONIC,0.3471509352,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,DK Metcalf,WR,,36,0.1002174859,0.1002174859
6819,WR_T12_WITHIN_3Y,0.4473684211,0.4473684211,0.0000000000,C3_ISOTONIC_MONOTONIC,0.3471509352,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Michael Pittman,WR,,53,0.1002174859,0.1002174859
5872,WR_T12_WITHIN_3Y,0.4473684211,0.4473684211,0.0000000000,C3_ISOTONIC_MONOTONIC,0.3471509352,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Deebo Samuel,WR,,54,0.1002174859,0.1002174859
11635,WR_T12_WITHIN_3Y,0.4473684211,0.4473684211,0.0000000000,C3_ISOTONIC_MONOTONIC,0.3471509352,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Ladd McConkey,WR,,55,0.1002174859,0.1002174859
9754,WR_T12_WITHIN_3Y,0.4473684211,0.4473684211,0.0000000000,C3_ISOTONIC_MONOTONIC,0.3471509352,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Quentin Johnston,WR,,68,0.1002174859,0.1002174859
4983,WR_T12_WITHIN_3Y,0.4473684211,0.4473684211,0.0000000000,C3_ISOTONIC_MONOTONIC,0.3471509352,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,DJ Moore,WR,,90,0.1002174859,0.1002174859
8121,WR_T12_WITHIN_3Y,0.4473684211,0.4473684211,0.0000000000,C3_ISOTONIC_MONOTONIC,0.3471509352,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Romeo Doubs,WR,,92,0.1002174859,0.1002174859
8676,WR_T12_WITHIN_3Y,0.4473684211,0.4473684211,0.0000000000,C3_ISOTONIC_MONOTONIC,0.3471509352,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Rashid Shaheed,WR,,93,0.1002174859,0.1002174859
7049,WR_T12_WITHIN_3Y,0.4473684211,0.4473684211,0.0000000000,C3_ISOTONIC_MONOTONIC,0.3471509352,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Jauan Jennings,WR,,94,0.1002174859,0.1002174859
9508,RB_T36_THIS_YEAR,0.1666666667,0.1666666667,0.0000000000,C3_ISOTONIC_MONOTONIC,0.2613926304,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Tyjae Spears,RB,,135,-0.0947259637,0.0947259637
8205,RB_T36_THIS_YEAR,0.1666666667,0.1666666667,0.0000000000,C3_ISOTONIC_MONOTONIC,0.2613926304,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Isiah Pacheco,RB,,169,-0.0947259637,0.0947259637
7607,RB_T36_THIS_YEAR,0.1666666667,0.1666666667,0.0000000000,C3_ISOTONIC_MONOTONIC,0.2613926304,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Michael Carter,RB,,171,-0.0947259637,0.0947259637
4035,RB_T36_THIS_YEAR,0.1666666667,0.1666666667,0.0000000000,C3_ISOTONIC_MONOTONIC,0.2613926304,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Alvin Kamara,RB,,189,-0.0947259637,0.0947259637
5995,RB_T36_THIS_YEAR,0.1666666667,0.1666666667,0.0000000000,C3_ISOTONIC_MONOTONIC,0.2613926304,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Justice Hill,RB,,196,-0.0947259637,0.0947259637
8154,RB_T36_THIS_YEAR,0.1666666667,0.1666666667,0.0000000000,C3_ISOTONIC_MONOTONIC,0.2613926304,OUTCOME_V3_UPGRADE_ADMISSIBLE,CHALLENGER_PASSED_EVERY_FIELD_GATE,Brian Robinson,RB,,200,-0.0947259637,0.0947259637
