feature_family,fidelity,position,target,outer_test_class,train_classes,baseline,rows,exact_identity_rows,feature_observed_rows,baseline_spearman,candidate_spearman,delta_spearman,baseline_ndcg,candidate_ndcg,delta_ndcg,baseline_mae,candidate_mae,baseline_rmse,candidate_rmse,baseline_pr_auc,candidate_pr_auc,baseline_brier,candidate_brier,delta_brier,baseline_log_loss,candidate_log_loss,baseline_ece,candidate_ece,baseline_precision,candidate_precision,baseline_recall,candidate_recall,baseline_calibration_intercept,candidate_calibration_intercept,baseline_calibration_slope,candidate_calibration_slope,baseline_rank_mae,candidate_rank_mae,baseline_top_n_overlap,candidate_top_n_overlap,primary_delta,temporal_status,same_row_status
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2023,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022,B1_CONTINUOUS_OVERALL_PICK,33,33,33,0.540319,0.311356,-0.228963,0.825101,0.829061,0.003960,38.956355,40.391831,49.088321,51.806504,,,,,,,,,,,,,,,,,,7.030303,9.212121,0.400000,0.400000,-0.228963,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2023,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022,B2_DRAFT_CAPITAL_PLUS_AGE,33,33,33,0.519763,0.311356,-0.208406,0.820726,0.829061,0.008335,38.066316,40.391831,49.124324,51.806504,,,,,,,,,,,,,,,,,,7.515152,9.212121,0.200000,0.400000,-0.208406,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2023,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022,B3_ACCEPTED_MODEL_V4_REVIEW_PROXY,33,33,33,0.357149,0.311356,-0.045793,0.848586,0.829061,-0.019525,40.188317,40.391831,50.788333,51.806504,,,,,,,,,,,,,,,,,,8.242424,9.212121,0.400000,0.400000,-0.045793,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2024,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,B1_CONTINUOUS_OVERALL_PICK,35,35,35,0.290884,0.210379,-0.080505,0.885011,0.868860,-0.016150,49.275464,49.491487,56.304770,56.522054,,,,,,,,,,,,,,,,,,9.428571,10.342857,0.600000,0.600000,-0.080505,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2024,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,B2_DRAFT_CAPITAL_PLUS_AGE,35,35,35,0.277420,0.210379,-0.067041,0.886144,0.868860,-0.017284,48.192691,49.491487,55.501892,56.522054,,,,,,,,,,,,,,,,,,9.771429,10.342857,0.600000,0.600000,-0.067041,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2024,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,B3_ACCEPTED_MODEL_V4_REVIEW_PROXY,35,35,35,0.186536,0.210379,0.023843,0.868426,0.868860,0.000434,49.895634,49.491487,56.924211,56.522054,,,,,,,,,,,,,,,,,,10.628571,10.342857,0.400000,0.600000,0.023843,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2025,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024,B1_CONTINUOUS_OVERALL_PICK,30,30,30,0.277098,0.252615,-0.024483,0.892611,0.861998,-0.030614,41.163912,39.503228,47.133726,46.954058,,,,,,,,,,,,,,,,,,8.066667,9.000000,0.400000,0.200000,-0.024483,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2025,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024,B2_DRAFT_CAPITAL_PLUS_AGE,30,30,30,0.197418,0.252615,0.055197,0.848364,0.861998,0.013634,40.071234,39.503228,46.877048,46.954058,,,,,,,,,,,,,,,,,,8.200000,9.000000,0.400000,0.200000,0.055197,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y1_vor,2025,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024,B3_ACCEPTED_MODEL_V4_REVIEW_PROXY,30,30,30,0.340752,0.252615,-0.088137,0.886134,0.861998,-0.024136,38.792397,39.503228,46.033038,46.954058,,,,,,,,,,,,,,,,,,7.533333,9.000000,0.400000,0.200000,-0.088137,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2016,2012|2013|2014|2015,B1_CONTINUOUS_OVERALL_PICK,34,34,30,-0.256116,-0.015105,0.241011,0.768840,0.775998,0.007158,48.917607,46.918417,56.011471,54.268293,,,,,,,,,,,,,,,,,,13.470588,10.970588,0.000000,0.200000,0.241011,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2016,2012|2013|2014|2015,B2_DRAFT_CAPITAL_PLUS_AGE,34,34,30,-0.199830,-0.015105,0.184725,0.736197,0.775998,0.039802,50.110562,46.918417,55.945139,54.268293,,,,,,,,,,,,,,,,,,12.823529,10.970588,0.200000,0.200000,0.184725,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2016,2012|2013|2014|2015,B3_ACCEPTED_MODEL_V4_REVIEW_PROXY,34,34,30,-0.021084,-0.015105,0.005979,0.777984,0.775998,-0.001985,47.095291,46.918417,54.318070,54.268293,,,,,,,,,,,,,,,,,,10.911765,10.970588,0.200000,0.200000,0.005979,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2017,2012|2013|2014|2015|2016,B1_CONTINUOUS_OVERALL_PICK,32,32,29,0.285785,0.142389,-0.143396,0.894605,0.863200,-0.031406,48.076518,47.899834,53.661371,53.370880,,,,,,,,,,,,,,,,,,9.062500,9.812500,0.000000,0.200000,-0.143396,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2017,2012|2013|2014|2015|2016,B2_DRAFT_CAPITAL_PLUS_AGE,32,32,29,-0.116390,0.142389,0.258778,0.881108,0.863200,-0.017908,51.456149,47.899834,57.200988,53.370880,,,,,,,,,,,,,,,,,,10.937500,9.812500,0.400000,0.200000,0.258778,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2017,2012|2013|2014|2015|2016,B3_ACCEPTED_MODEL_V4_REVIEW_PROXY,32,32,29,0.256967,0.142389,-0.114578,0.869244,0.863200,-0.006044,48.312299,47.899834,53.465446,53.370880,,,,,,,,,,,,,,,,,,9.500000,9.812500,0.200000,0.200000,-0.114578,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2018,2012|2013|2014|2015|2016|2017,B1_CONTINUOUS_OVERALL_PICK,33,33,32,0.389175,0.294646,-0.094528,0.923184,0.914791,-0.008392,47.511520,47.639465,51.975809,52.236104,,,,,,,,,,,,,,,,,,8.545455,8.848485,0.600000,0.600000,-0.094528,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2018,2012|2013|2014|2015|2016|2017,B2_DRAFT_CAPITAL_PLUS_AGE,33,33,32,0.306211,0.294646,-0.011565,0.898425,0.914791,0.016367,47.252455,47.639465,52.167789,52.236104,,,,,,,,,,,,,,,,,,9.060606,8.848485,0.400000,0.600000,-0.011565,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2018,2012|2013|2014|2015|2016|2017,B3_ACCEPTED_MODEL_V4_REVIEW_PROXY,33,33,32,0.310066,0.294646,-0.015419,0.914379,0.914791,0.000412,47.869080,47.639465,52.637869,52.236104,,,,,,,,,,,,,,,,,,9.151515,8.848485,0.600000,0.600000,-0.015419,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2019,2012|2013|2014|2015|2016|2017|2018,B1_CONTINUOUS_OVERALL_PICK,28,28,28,0.032544,-0.097080,-0.129623,0.817432,0.753512,-0.063920,52.333340,54.909585,58.316776,60.436334,,,,,,,,,,,,,,,,,,9.785714,9.928571,0.200000,0.200000,-0.129623,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2019,2012|2013|2014|2015|2016|2017|2018,B2_DRAFT_CAPITAL_PLUS_AGE,28,28,28,0.036405,-0.097080,-0.133484,0.808752,0.753512,-0.055239,53.996109,54.909585,59.393255,60.436334,,,,,,,,,,,,,,,,,,9.500000,9.928571,0.400000,0.200000,-0.133484,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2019,2012|2013|2014|2015|2016|2017|2018,B3_ACCEPTED_MODEL_V4_REVIEW_PROXY,28,28,28,-0.146723,-0.097080,0.049643,0.747712,0.753512,0.005800,54.270911,54.909585,59.601888,60.436334,,,,,,,,,,,,,,,,,,10.214286,9.928571,0.200000,0.200000,0.049643,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2020,2012|2013|2014|2015|2016|2017|2018|2019,B1_CONTINUOUS_OVERALL_PICK,37,37,37,0.352125,0.295277,-0.056848,0.803662,0.834787,0.031126,50.223299,49.961502,58.629735,59.554868,,,,,,,,,,,,,,,,,,9.486486,10.135135,0.400000,0.200000,-0.056848,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2020,2012|2013|2014|2015|2016|2017|2018|2019,B2_DRAFT_CAPITAL_PLUS_AGE,37,37,37,0.340850,0.295277,-0.045573,0.882911,0.834787,-0.048124,50.944962,49.961502,58.762513,59.554868,,,,,,,,,,,,,,,,,,9.459459,10.135135,0.400000,0.200000,-0.045573,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2020,2012|2013|2014|2015|2016|2017|2018|2019,B3_ACCEPTED_MODEL_V4_REVIEW_PROXY,37,37,37,0.225255,0.295277,0.070021,0.849616,0.834787,-0.014829,51.583597,49.961502,60.668931,59.554868,,,,,,,,,,,,,,,,,,10.891892,10.135135,0.400000,0.200000,0.070021,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2021,2012|2013|2014|2015|2016|2017|2018|2019|2020,B1_CONTINUOUS_OVERALL_PICK,36,36,35,0.193357,0.126669,-0.066688,0.866057,0.710865,-0.155191,60.394311,60.776509,63.587952,64.618155,,,,,,,,,,,,,,,,,,10.888889,11.555556,0.600000,0.200000,-0.066688,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2021,2012|2013|2014|2015|2016|2017|2018|2019|2020,B2_DRAFT_CAPITAL_PLUS_AGE,36,36,35,0.221735,0.126669,-0.095066,0.800007,0.710865,-0.089142,60.563342,60.776509,63.668249,64.618155,,,,,,,,,,,,,,,,,,10.666667,11.555556,0.200000,0.200000,-0.095066,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2021,2012|2013|2014|2015|2016|2017|2018|2019|2020,B3_ACCEPTED_MODEL_V4_REVIEW_PROXY,36,36,35,0.098549,0.126669,0.028120,0.775517,0.710865,-0.064651,59.899067,60.776509,63.671122,64.618155,,,,,,,,,,,,,,,,,,11.833333,11.555556,0.400000,0.200000,0.028120,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2022,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021,B1_CONTINUOUS_OVERALL_PICK,28,28,26,0.384995,0.072847,-0.312148,0.884558,0.795485,-0.089073,46.402130,47.573137,50.551208,53.523659,,,,,,,,,,,,,,,,,,7.000000,8.678571,0.400000,0.000000,-0.312148,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2022,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021,B2_DRAFT_CAPITAL_PLUS_AGE,28,28,26,0.457284,0.072847,-0.384437,0.877360,0.795485,-0.081875,45.099030,47.573137,49.414920,53.523659,,,,,,,,,,,,,,,,,,6.500000,8.678571,0.400000,0.000000,-0.384437,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2022,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021,B3_ACCEPTED_MODEL_V4_REVIEW_PROXY,28,28,26,0.071204,0.072847,0.001643,0.730895,0.795485,0.064590,47.659750,47.573137,53.310882,53.523659,,,,,,,,,,,,,,,,,,8.678571,8.678571,0.000000,0.000000,0.001643,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2023,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022,B1_CONTINUOUS_OVERALL_PICK,33,33,33,0.378803,0.129388,-0.249415,0.925818,0.855420,-0.070399,42.362374,44.173126,48.646419,51.225046,,,,,,,,,,,,,,,,,,7.757576,10.000000,0.600000,0.200000,-0.249415,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2023,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022,B2_DRAFT_CAPITAL_PLUS_AGE,33,33,33,0.297894,0.129388,-0.168506,0.915163,0.855420,-0.059744,42.257919,44.173126,49.037586,51.225046,,,,,,,,,,,,,,,,,,8.181818,10.000000,0.400000,0.200000,-0.168506,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2023,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022,B3_ACCEPTED_MODEL_V4_REVIEW_PROXY,33,33,33,0.106988,0.129388,0.022401,0.861034,0.855420,-0.005614,43.889771,44.173126,51.034857,51.225046,,,,,,,,,,,,,,,,,,10.363636,10.000000,0.200000,0.200000,0.022401,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2024,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,B1_CONTINUOUS_OVERALL_PICK,35,35,35,-0.071702,-0.095602,-0.023901,0.845006,0.825191,-0.019815,42.528564,41.163056,46.937290,46.343888,,,,,,,,,,,,,,,,,,13.028571,12.685714,0.000000,0.000000,-0.023901,PASS_EARLIER_CLASSES_ONLY,PASS
T03,FEATURE_FAMILY_TESTABLE_WITH_LOWER_FIDELITY,WR,y2_vor,2024,2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,B2_DRAFT_CAPITAL_PLUS_AGE,35,35,35,-0.062028,-0.095602,-0.033575,0.818985,0.825191,0.006206,43.084033,41.163056,48.129627,46.343888,,,,,,,,,,,,,,,,,,13.028571,12.685714,0.000000,0.000000,-0.033575,PASS_EARLIER_CLASSES_ONLY,PASS
