model_id,split,target_seasons,position,sample_size,mae_points,rmse_points,spearman_points,top_n_label,top_n,top_n_hit_rate
v1_baseline,eval_all,2021;2022;2023;2024;2025,QB,317,59.286514850062424,77.29537074498306,0.6784354292086937,qb_t12,12,0.55
v1_baseline,eval_all,2021;2022;2023;2024;2025,RB,570,43.000470822245134,58.268118253243884,0.6774972825268152,rb_t24,24,0.575
v1_baseline,eval_all,2021;2022;2023;2024;2025,TE,495,19.1488004102399,26.07461812246492,0.7453970028252449,te_t12,12,0.55
v1_baseline,eval_all,2021;2022;2023;2024;2025,WR,886,29.865043368093524,39.458620687430674,0.7187611803051426,wr_t36,36,0.6166666666666667
v1_clean_expanded,validation,2023;2024,QB,126,63.816722170373716,83.36207085622165,0.5949855192890371,qb_t12,12,0.4583333333333333
v1_clean_expanded,validation,2023;2024,RB,223,43.97741268196151,59.798436478201424,0.697333543232393,rb_t24,24,0.5833333333333334
v1_clean_expanded,validation,2023;2024,TE,192,19.962827246141433,26.490409329270996,0.733949580704003,te_t12,12,0.4166666666666667
v1_clean_expanded,validation,2023;2024,WR,337,28.515183539973947,36.820690726478475,0.7580375030554173,wr_t36,36,0.6527777777777778
v1_clean_expanded,holdout,2025,QB,63,59.77255194528178,81.59217291695366,0.7349750384024577,qb_t12,12,0.5
v1_clean_expanded,holdout,2025,RB,106,41.64961346432782,56.355790148706,0.707103073541991,rb_t24,24,0.625
v1_clean_expanded,holdout,2025,TE,107,17.59611011390451,23.792804840422814,0.7842623411915031,te_t12,12,0.4166666666666667
v1_clean_expanded,holdout,2025,WR,176,27.667713608158063,37.345197567551125,0.7568626825477592,wr_t36,36,0.5833333333333334
v1_clean_expanded,eval_all,2021;2022;2023;2024;2025,QB,317,63.59263905733915,81.4931754022167,0.6692280496681225,qb_t12,12,0.48333333333333334
v1_clean_expanded,eval_all,2021;2022;2023;2024;2025,RB,570,43.490860950964056,58.581483056248544,0.6678377280304617,rb_t24,24,0.575
v1_clean_expanded,eval_all,2021;2022;2023;2024;2025,TE,495,19.629879504610955,26.695650791199903,0.739960894054655,te_t12,12,0.4666666666666667
v1_clean_expanded,eval_all,2021;2022;2023;2024;2025,WR,886,29.412412913346607,38.814439799693254,0.731846110009096,wr_t36,36,0.6277777777777778
v0_baseline_reference,validation,2023;2024,ALL,878,36.417300636733884,48.45609702405599,0.6987302615011348,position_specific,position_specific,0.5540527714502658
v0_baseline_reference,holdout,2025,ALL,452,33.169607193913905,45.79111755857764,0.7326683560435773,position_specific,position_specific,0.5509464110127826
v0_baseline_reference,eval_all,2021;2022;2023;2024;2025,ALL,2268,36.00514534084475,51.22177107831106,0.6959285537566959,position_specific,position_specific,0.5580736821477563
v1_baseline,validation,2023;2024,ALL,878,35.62166058153556,47.48620859160849,0.7041944823168149,position_specific,position_specific,0.5759855099974689
v1_baseline,holdout,2025,ALL,452,32.92496484855479,44.75917227995776,0.7314797892750735,position_specific,position_specific,0.5625614552605703
v1_baseline,eval_all,2021;2022;2023;2024;2025,ALL,2268,34.939672929166285,46.55323361119593,0.7085676385574485,position_specific,position_specific,0.5823265726043504
v1_clean_expanded,validation,2023;2024,ALL,878,35.638211509994164,47.07676950861745,0.7139527489704858,position_specific,position_specific,0.5556030118957226
v1_clean_expanded,holdout,2025,ALL,452,33.0372371172458,44.762401635719364,0.7486288846254475,position_specific,position_specific,0.5420353982300885
v1_clean_expanded,eval_all,2021;2022;2023;2024;2025,ALL,2268,35.59296539648745,47.10261144124187,0.7087782595887441,position_specific,position_specific,0.5591612776797963
