model_id,split,target_seasons,position,sample_size,mae_points,rmse_points,spearman_points,top_n_label,top_n,top_n_hit_rate,result_source
first_down_context,season_2022,2022,WR,186,29.454491600600473,36.58654308282541,0.7428287403880358,wr_t36,36,0.6666666666666666,candidate
first_down_context,season_2023,2023,QB,63,66.01496558638155,85.13593186525472,0.5702764976958525,qb_t12,12,0.5,candidate
first_down_context,season_2023,2023,RB,115,44.073187219092326,58.79541985467075,0.6333155794312162,rb_t24,24,0.4583333333333333,candidate
first_down_context,season_2023,2023,TE,96,18.81586127801964,24.079699605553685,0.7743389833033832,te_t12,12,0.5833333333333334,candidate
first_down_context,season_2023,2023,WR,166,27.80315242380592,36.38213231534782,0.773422720199572,wr_t36,36,0.6666666666666666,candidate
first_down_context,season_2024,2024,QB,63,61.8227155065885,80.5021545879334,0.5930299539170507,qb_t12,12,0.5,candidate
first_down_context,season_2024,2024,RB,108,43.56105065061338,61.684896353538754,0.7378921999013418,rb_t24,24,0.625,candidate
first_down_context,season_2024,2024,TE,96,20.12113464374676,27.457352437203888,0.7050918974792568,te_t12,12,0.3333333333333333,candidate
first_down_context,season_2024,2024,WR,171,30.817970119038215,39.31567446152322,0.726424530378739,wr_t36,36,0.6388888888888888,candidate
first_down_context,season_2025,2025,QB,63,56.52146502647825,72.39877682680986,0.7077092933947773,qb_t12,12,0.5,candidate
first_down_context,season_2025,2025,RB,106,40.80867747329122,57.33486499576033,0.735645387663749,rb_t24,24,0.5833333333333334,candidate
first_down_context,season_2025,2025,TE,107,18.343749920551335,24.64454755553728,0.763600689295133,te_t12,12,0.4166666666666667,candidate
first_down_context,season_2025,2025,WR,176,28.787683052766862,38.66201672877044,0.711298042821304,wr_t36,36,0.5555555555555556,candidate
position_specific_usage,season_2021,2021,QB,61,57.265318053882424,71.48889341119296,0.7114225277630883,qb_t12,12,0.6666666666666666,candidate
position_specific_usage,season_2021,2021,RB,121,40.981096004067446,53.84789082840401,0.6514506940200898,rb_t24,24,0.5416666666666666,candidate
position_specific_usage,season_2021,2021,TE,97,22.005006885317982,29.232477140162832,0.7251555258449088,te_t12,12,0.5,candidate
position_specific_usage,season_2021,2021,WR,187,33.24813330526459,43.994525053782986,0.6546415675821037,wr_t36,36,0.6111111111111112,candidate
position_specific_usage,season_2022,2022,QB,67,50.53262449679969,65.25521389637717,0.7742038470747865,qb_t12,12,0.5833333333333334,candidate
position_specific_usage,season_2022,2022,RB,120,43.08038429306814,57.043738266763356,0.6808426411777425,rb_t24,24,0.5833333333333334,candidate
